epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,11769.4,0.79412,0.45918,0.94531,0.74733,0.70672,0.72493,0.4754,1.24754,1.11216,1.22345,0.00458703,0.00458703,0.00458703
81,11915.9,0.792,0.45834,0.94331,0.73365,0.70333,0.72222,0.47933,1.25092,1.1554,1.24408,0.00448288,0.00448288,0.00448288
82,12063.8,0.78849,0.4522,0.93653,0.74435,0.67167,0.7108,0.47051,1.22471,1.13908,1.21473,0.00437896,0.00437896,0.00437896
83,12210.5,0.78054,0.4491,0.93301,0.70676,0.69979,0.69875,0.46342,1.24039,1.19008,1.22614,0.00427532,0.00427532,0.00427532
84,12357.1,0.7761,0.44257,0.93668,0.72846,0.69377,0.71796,0.47486,1.2424,1.11979,1.22417,0.00417199,0.00417199,0.00417199
85,12503.7,0.7753,0.44977,0.93173,0.72455,0.68754,0.71294,0.46731,1.24049,1.1272,1.23603,0.00406903,0.00406903,0.00406903
86,12650.2,0.76198,0.43783,0.93309,0.73828,0.69973,0.71918,0.47839,1.24761,1.12976,1.22696,0.00396648,0.00396648,0.00396648
87,12796.7,0.77217,0.44151,0.93237,0.73953,0.66838,0.71934,0.47922,1.25336,1.14925,1.22531,0.00386439,0.00386439,0.00386439
88,12943.3,0.75344,0.43164,0.9267,0.73398,0.68976,0.71976,0.47688,1.25855,1.1652,1.2311,0.00376279,0.00376279,0.00376279
89,13089.8,0.75281,0.42773,0.92662,0.70705,0.71552,0.71582,0.47444,1.2425,1.118,1.22265,0.00366175,0.00366175,0.00366175
90,13236.7,0.75677,0.43063,0.92093,0.76589,0.67327,0.7188,0.48038,1.24468,1.2178,1.21916,0.00356129,0.00356129,0.00356129
91,13383.3,0.74503,0.42805,0.92844,0.73308,0.68324,0.71827,0.4787,1.23578,1.17453,1.2184,0.00346146,0.00346146,0.00346146
92,13531.1,0.74945,0.42303,0.92597,0.7389,0.68561,0.7167,0.4807,1.24354,1.13398,1.22855,0.00336231,0.00336231,0.00336231
93,13677.6,0.74294,0.41866,0.92119,0.75411,0.68074,0.72128,0.47731,1.24094,1.14203,1.23966,0.00326388,0.00326388,0.00326388
94,13824.1,0.73742,0.41745,0.91713,0.74208,0.67449,0.71916,0.48375,1.25336,1.17423,1.24854,0.00316622,0.00316622,0.00316622
95,13970.8,0.74028,0.41879,0.92265,0.72961,0.7084,0.72232,0.48477,1.23924,1.14844,1.23494,0.00306936,0.00306936,0.00306936
96,14117.3,0.72375,0.41053,0.9182,0.74422,0.66902,0.72415,0.48683,1.24107,1.23879,1.22124,0.00297335,0.00297335,0.00297335
97,14263.7,0.72203,0.40526,0.91787,0.74973,0.67435,0.71777,0.47897,1.23758,1.18824,1.21535,0.00287823,0.00287823,0.00287823
98,14410.4,0.7233,0.40518,0.91252,0.70557,0.69112,0.7157,0.47809,1.23097,1.19752,1.20253,0.00278405,0.00278405,0.00278405
99,14557.1,0.72419,0.40278,0.91653,0.7416,0.68749,0.7235,0.4885,1.24011,1.17322,1.20189,0.00269084,0.00269084,0.00269084
100,14703.6,0.72651,0.40212,0.91279,0.72773,0.67676,0.71077,0.47637,1.24637,1.1959,1.22856,0.00259864,0.00259864,0.00259864
101,14850.2,0.70542,0.39724,0.91095,0.71367,0.67814,0.71439,0.47888,1.24436,1.20145,1.22285,0.0025075,0.0025075,0.0025075
102,14998.1,0.71256,0.39747,0.91278,0.73247,0.68096,0.71433,0.47973,1.23885,1.20988,1.21649,0.00241746,0.00241746,0.00241746
103,15144.7,0.70228,0.38965,0.91053,0.69522,0.71696,0.71854,0.48203,1.2365,1.16419,1.23362,0.00232855,0.00232855,0.00232855
104,15291.5,0.70729,0.39657,0.91177,0.72792,0.70268,0.70842,0.47307,1.24508,1.1865,1.23066,0.00224081,0.00224081,0.00224081
